# doi:10.1002/prot.10001
# Evaluation of a Fast Implicit Solvent Model for Molecular Dynamics Simulation
# P. Ferrara, J. Apostolakis, A. Caflisch
# Proteins, 46(2002), 24-33

# id "atom type" R_min^vdW E_i p_i sigma_i
1  C    2.1   1.72 1.554  0.012
2  CH1E 2.365 1.80 1.276  0.012
3  CH2E 2.235 1.90 1.045  0.012
4  CH3E 2.165 2.00 0.880  0.012
5  CR1E 2.1   1.80 1.073  0.012
6  NH1  1.6   1.55 1.028 -0.060
7  NR   1.6   1.55 1.028 -0.060 
8  NH2  1.6   1.60 1.215 -0.060 
9  NH3  1.6   1.60 1.215 -0.060 
10 NC2  1.6   1.55 1.028 -0.060 
11 N    1.6   1.55 1.028 -0.060 
12 OH1  1.6   1.52 1.080 -0.060 
13 O    1.6   1.50 0.926 -0.060 
14 OC   1.6   1.70 0.922 -0.060 
15 S    1.89  1.80 1.121  0.012
16 SH1E 1.89  1.80 1.121  0.012
17 H    0.8   1.10 1.128  0.000
18 HC   0.6   1.10 1.128  0.000

